Ranking,Team,Country,Points Scored,1 year change,previous point scored,symbol change,,,,
693,Interclube de Angola,Angola,1393,7,1392,+,,,,
76,Internacional,Brazil,1653,15,1678,-,,,,
1633,InternaÅ£ional Curtea de ArgeÅŸ,Romania,1286,17,1286,-,,,,
1160,Inverness CT,Scotland,1329,5,1329,-,,,,
677,Ionikos,Greece,1395,284,1350,+,,,,
849,Iraklis,Greece,1367,13,1367,-,,,,
768,Ironi Kiryat Schmona,Israel,1380,297,1339,+,,,,
1712,Ironi Ramat HaSharon,Israel,1278,4,1278,-,,,,
850,Irtysh Pavlodar,Kazakhstan,1367,12,1367,-,,,,
1490,Isidro MetapÃ¡n,El Salvador,1297,216,1317,-,,,,
470,Iskra-Stal,Moldova,1441,0,1441,-,,,,
957,Isloch,Belarus,1353,79,1361,-,,,,
1044,Ismaily SC,Egypt,1342,169,1362,-,,,,
1630,Issia Wazi,Ivory Coast,1286,18,1286,-,,,,
218,Ä°stanbul BaÅŸakÅŸehir,Turkey,1533,132,1476,+,,,,
2604,Ittihad Al-Ramtha,Jordan,1208,16,1208,-,,,,
1196,Ittihad El-Shorta,Egypt,1326,6,1326,-,,,,
1121,Ittihad Tanger,Morocco,1333,199,1355,-,,,,
2023,Ittihad Zemouri de Khemisset,Morocco,1255,1,1255,-,,,,
975,Iztapa,Guatemala,1350,17,1351,-,,,,
1996,J.S. Groupe Bazano,Denmark,1257,323,1240,+,,,,
471,Jablonec,Czech Republic,1441,303,1557,-,,,,
964,Jagiellonia BiaÅ‚ystok,Poland,1352,176,1373,-,,,,
1587,Jagodina,Serbia,1289,19,1289,-,,,,
919,Jaguares Chiapas,Mexico,1358,7,1358,-,,,,
1442,Jalapa,Guatemala,1300,4,1300,-,,,,
2468,Jangorzo,Niger,1224,25,1224,-,,,,
1618,Javor,Serbia,1287,20,1287,-,,,,
2539,Jazeerat Al Feel,Sudan,1217,24,1217,-,,,,
1764,JC Abidjan,Ivory Coast,1273,0,1273,-,,,,
2167,JCT FC,India,1247,42,1247,-,,,,
847,Jeanne d'Arc de Bamako,Mali,1367,15,1367,-,,,,
2676,Jedinstvo BP,Montenegro,1192,9,1192,-,,,,
1978,JEF United,Japan,1258,1,1258,-,,,,
459,Jeju United,South Korea,1445,311,1376,+,,,,
126,Jeonbuk FC,South Korea,1599,22,1609,-,,,,
1466,Jeonnam Dragons,South Korea,1298,116,1291,+,,,,
2399,Jeunesse Sportive de Kinshasa,Congo DR,1230,213,1248,-,,,,
1236,Jeunesse Sportive Soualem,Morocco,1322,205,1300,+,,,,
339,Jiangsu Suning FC,China PR,1481,3,1481,-,,,,
1535,Jigawa Golden Stars,Nigeria,1292,153,1305,-,,,,
2430,JL Chiangmai United FC,Thailand,1227,324,1250,-,,,,
2155,Jocoro FC,El Salvador,1248,155,1240,+,,,,
1528,Joe Public,Trinidad and Tobago,1293,27,1293,-,,,,
1448,Joenkoepings Soedra,Sweden,1299,28,1299,-,,,,
1293,Johor Darul Ta'zim FC,Malaysia,1315,733,1255,+,,,,
2474,Johvi FC Lokomotiv,Estonia,1223,27,1223,-,,,,
630,Joinville EC,Brazil,1404,7,1404,-,,,,
2450,Jomo Cosmos,South Africa,1225,26,1225,-,,,,
774,Jorge Wilstermann,Bolivia,1379,292,1438,-,,,,
1516,JosÃ© GÃ¡lvez,Peru,1294,32,1294,-,,,,
448,JS Kabylie,Algeria,1448,94,1423,+,,,,
2693,JS Kairouanaise,Tunisia,1188,7,1188,-,,,,
403,JS Saoura,Algeria,1462,97,1433,+,,,,
2263,JSK Chabab Kasba Tadla,Morocco,1241,38,1241,-,,,,
1075,JSM BÃ©jaÃ¯a,Algeria,1339,11,1339,-,,,,
1879,JSM LaÃ¢youne,Morocco,1265,6,1265,-,,,,
2686,JSM Skikda,Algeria,1189,735,1260,-,,,,
1231,Juan Aurich,Peru,1322,9,1322,-,,,,
1061,JÃºbilo Iwata,Japan,1340,55,1346,-,,,,
255,Junior FC,Colombia,1516,96,1564,-,,,,
1820,JUTH FC,Nigeria,1269,11,1269,-,,,,
1921,Juticalpa,Honduras,1262,6,1262,-,,,,
1475,Juventud de Las Piedras,Uruguay,1298,25,1298,-,,,,
2158,Juventud Escuintleca,Guatemala,1247,43,1247,-,,,,
1432,Juventud Independiente,El Salvador,1301,2,1301,-,,,,
1767,Juventud Retalteca,Guatemala,1273,1,1273,-,,,,
19,Juventus,Italy,1800,8,1863,-,,,,
2594,Juventus BucureÅŸti,Romania,1209,18,1209,-,,,,
2632,Juventus Managua,Nicaragua,1203,17,1201,+,,,,
2298,Jwaneng Galaxy FC,Botswana,1238,192,1250,-,,,,
2345,Jyvaskyla JK,Finland,1234,41,1234,-,,,,
2094,Kabasha,Congo DR,1251,3,1251,-,,,,
757,Kabuscorp SCP,Angola,1382,166,1413,-,,,,
1880,Kabwe Warriors,Zambia,1265,79,1259,+,,,,
1979,KAC KÃ©nitra,Morocco,1258,1,1258,-,,,,
1335,KACM Marrakech,Morocco,1310,0,1310,-,,,,
1542,Kaduna United FC,Nigeria,1292,30,1292,-,,,,
2346,Kafue Celtic,Zambia,1234,240,1250,-,,,,
252,Kairat Almaty,Kazakhstan,1519,40,1537,-,,,,
1500,Kaisar Kyzylorda,Kazakhstan,1296,103,1303,-,,,,
568,Kaiserslautern,Germany,1419,6,1419,-,,,,
580,Kaizer Chiefs,South Africa,1417,47,1406,+,,,,
2556,Kaliakra,Bulgaria,1215,23,1215,-,,,,
776,Kalmar FF,Sweden,1378,465,1320,+,,,,
2101,Kaloum Star,Guinea,1250,2,1250,-,,,,
2392,Kalteng Putra,Indonesia,1230,32,1230,-,,,,
2422,Kalulushi Modern Stars,Zambia,1227,32,1227,-,,,,
2249,Kalyani Bharat FC,India,1242,40,1242,-,,,,
703,Kano Pillars,Nigeria,1392,211,1434,-,,,,
1985,Kansanshi Dynamos,Zambia,1258,122,1250,+,,,,
2362,Kapfenberger SV,Austria,1233,38,1233,-,,,,
2675,KaposvÃ¡ri RÃ¡kÃ³czi,Hungary,1193,9,1193,-,,,,
2501,KarabÃ¼kspor,Turkey,1221,28,1221,-,,,,
1741,Karela United FC,Ghana,1276,135,1265,+,,,,
1622,Karlovac,Croatia,1287,19,1287,-,,,,
2649,Karmiotissa Pano Polemidion,Cyprus,1199,11,1199,-,,,,
1327,Karpaty Lviv,Ukraine,1311,2,1311,-,,,,
2513,Karvan,Azerbaijan,1219,29,1219,-,,,,
219,Kashima Antlers,Japan,1532,30,1520,+,,,,
658,Kashiwa Reysol,Japan,1400,30,1391,+,,,,
412,KasÄ±mpaÅŸa,Turkey,1459,282,1391,+,,,,
1068,Katsina United,Nigeria,1340,184,1319,+,,,,
744,Kavala,Greece,1384,14,1384,-,,,,
69,Kawasaki Frontale,Japan,1660,2,1661,-,,,,
2571,Kaya F.C.-Iloilo,Peru,1213,465,1250,-,,,,
1246,Kayseri Erciyesspor,Turkey,1319,1,1319,-,,,,
817,Kayserispor,Turkey,1371,228,1342,+,,,,
2256,Kazakhmys,Kazakhstan,1241,39,1241,-,,,,
1886,KCCA FC,Togo,1264,2,1264,-,,,,
1127,KecskemÃ©ti TE,Hungary,1333,6,1333,-,,,,
2328,Kenkre FC,India,1235,222,1250,-,,,,
2246,Kerala Blasters FC,India,1242,39,1242,-,,,,
1020,KeÅŸlÉ™ Futbol Klubu,Azerbaijan,1343,251,1376,-,,,,
427,KF Shkendija,Macedonia,1454,24,1458,-,,,,
2128,KF Tirana,Albania,1249,46,1249,-,,,,
2334,Kfarsoum,Jordan,1235,39,1235,-,,,,
1064,Khazar Lankaran FK,Azerbaijan,1340,8,1340,-,,,,
1098,Khimki,Russia,1336,195,1358,-,,,,
1918,Khon Kaen United FC,Thailand,1262,189,1250,+,,,,
2404,Khonkaen,Thailand,1229,29,1229,-,,,,
2329,Khorfakkan Club,United Arab Emirates,1235,75,1232,+,,,,
1383,Khroub,Algeria,1304,1,1304,-,,,,
1953,Kiglon,Zimbabwe,1260,4,1260,-,,,,
1217,Kilmarnock,Scotland,1324,10,1324,-,,,,
1960,King Faisal,Ghana,1259,92,1253,+,,,,
613,KisvÃ¡rda Master Good,Hungary,1407,341,1351,+,,,,
1487,Kitchee,Hong Kong,1297,844,1239,+,,,,
2603,Kitwe United,Zambia,1208,20,1215,-,,,,
2720,Kiwi,Samoa,1178,3,1178,-,,,,
1467,Kladno,Czech Republic,1298,29,1298,-,,,,
2690,Klaipedos Granitas,Lithuania,1189,7,1189,-,,,,
136,KÃ¸benhavn,Denmark,1587,58,1543,+,,,,
1980,Kokand 1912,Uzbekistan,1258,3,1258,-,,,,
1589,Koloale,Solomon Islands,1289,20,1289,-,,,,
2007,Kongsvinger,Norway,1256,0,1256,-,,,,
2506,Konkola Blades,Zambia,1220,130,1235,-,,,,
2489,Konkola Mine Police,Zambia,1221,30,1221,-,,,,
320,Konyaspor,Turkey,1488,293,1409,+,,,,
544,Koper,Slovenia,1425,349,1359,+,,,,
1308,Korona Kielce,Poland,1313,6,1313,-,,,,
1049,Kortrijk,Belgium,1341,147,1359,-,,,,
1184,KoÅ¡ice,Slovakia,1327,7,1327,-,,,,
2566,Kozara GradiÅ¡ka,Bosnia and Herzegovina,1214,23,1214,-,,,,
1797,KPV,Finland,1271,10,1271,-,,,,
256,KRC Genk,Belgium,1516,93,1561,-,,,,
1016,Kristiansund BK,Norway,1344,365,1401,-,,,,
2170,Krumkachy Minsk,Belarus,1247,41,1247,-,,,,
2454,Kruoja Pakruojis,Lithuania,1225,26,1225,-,,,,
542,Krylya Sovetov Samara,Russia,1425,217,1378,+,,,,
940,Kryvbas,Ukraine,1354,14,1354,-,,,,
366,KS RakÃ³w CzÄ™stochowa,Poland,1472,224,1414,+,,,,
1010,KS Warta PoznaÅ„,Poland,1345,78,1336,+,,,,
619,Kuban' Krasnodar,Russia,1406,4,1406,-,,,,
2220,Kukesi,Albania,1243,40,1243,-,,,,
205,KuPS,Finland,1540,160,1470,+,,,,
2153,Kuwait SC,Kuwait,1248,42,1248,-,,,,
478,KV Mechelen,Belgium,1439,74,1458,-,,,,
1019,KV Oostende,Belgium,1344,338,1393,-,,,,
827,Kwara United,Nigeria,1370,101,1354,+,,,,
1772,Kyoto Sanga FC,Japan,1273,551,1240,+,,,,
1798,Kyzylzhar Petropavlovsk,Kazakhstan,1271,252,1253,+,,,,
1540,L.A. Firpo,El Salvador,1292,172,1279,+,,,,
340,La Equidad,Colombia,1481,23,1470,+,,,,
984,LA Galaxy,United States,1349,113,1335,+,,,,
2770,La Horquetta Rangers FC,Trinidad and Tobago,1068,0,1068,-,,,,
2719,La Paz,Bolivia,1178,3,1178,-,,,,
2166,La U Universitarios,Costa Rica,1247,42,1247,-,,,,
2067,Lae City Dwellers,Papua New Guinea,1252,1,1252,-,,,,
2248,Lajong SC,India,1242,39,1242,-,,,,
1455,Lamia,Greece,1299,556,1359,-,,,,
897,Lamontville Golden Arrows,South Africa,1360,53,1366,-,,,,
173,LanÃºs,Argentina,1563,45,1588,-,,,,
1413,Larisa Ael,Greece,1302,1,1302,-,,,,
1144,Larne FC,Northern Ireland,1330,171,1313,+,,,,
720,Las Palmas,Spain,1389,18,1389,-,,,,
353,LASK Linz,Austria,1476,117,1524,-,,,,
1661,Lausanne,Cameroon,1283,584,1337,-,,,,
1788,Lausanne Sport,Switzerland,1272,8,1272,-,,,,
1403,Lautoka,Fiji,1303,3,1303,-,,,,
28,Lazio,Italy,1759,24,1705,+,,,,
241,LD Alajuelense,Costa Rica,1524,52,1547,-,,,,
153,LDU de Quito,Ecuador,1574,21,1583,-,,,,
1352,LDU Portoviejo,Ecuador,1308,3,1308,-,,,,
621,Le Mans,France,1406,4,1406,-,,,,
357,Lecce,Italy,1475,2,1475,-,,,,
286,Lech PoznaÅ„,Poland,1502,217,1432,+,,,,
560,Lechia GdaÅ„sk,Poland,1421,113,1395,+,,,,
128,Leeds United,England,1596,89,1725,-,,,,
107,Leganes,Spain,1612,6,1612,-,,,,
429,Legia Warszawa,Poland,1453,200,1526,-,,,,
1274,Legon Cities FC,Ghana,1317,6,1317,-,,,,
46,Leicester City,England,1703,8,1698,+,,,,
1256,LeixÃµes,Portugal,1318,6,1318,-,,,,
1935,Lengthens,Zimbabwe,1261,3,1261,-,,,,
90,Lens,France,1633,137,1529,+,,,,
234,LeÃ³n,Mexico,1526,103,1585,-,,,,
958,LeÃ³n de HuÃ¡nuco,Peru,1353,19,1353,-,,,,
1565,Leones FC,Colombia,1290,23,1290,-,,,,
820,Leones Negros U. de G.,Mexico,1371,15,1371,-,,,,
1169,LÃ©opards de DolisiÃ©,Congo,1328,5,1328,-,,,,
1818,Levadiakos,Greece,1269,10,1269,-,,,,
108,Levante,Spain,1612,25,1583,+,,,,
264,Levski Sofia,Bulgaria,1513,32,1499,+,,,,
2395,Liaoning Hongyun,China PR,1230,31,1230,-,,,,
114,Libertad,Paraguay,1608,18,1620,-,,,,
1472,Liberty Professionals,Ghana,1298,38,1297,+,,,,
1594,Lierse,Belgium,1288,20,1288,-,,,,
2718,Lietava Jonava,Lithuania,1179,134,1214,-,,,,
938,Liga de Loja,Ecuador,1355,13,1355,-,,,,
1995,Liga MuÃ§ulmana,Mozambique,1257,4,1257,-,,,,
2045,Likasi,Congo DR,1254,0,1254,-,,,,
75,Lille,France,1654,54,1790,-,,,,
594,LillestrÃ¸m,Norway,1412,776,1306,+,,,,
2477,Lime Hotspurs,Zambia,1223,28,1223,-,,,,
2085,Limerick,Ireland,1251,2,1251,-,,,,
1656,LimÃ³n,Costa Rica,1284,14,1284,-,,,,
2132,Lincoln Red Imps FC,Gibraltar,1249,26,1250,-,,,,
540,Linfield,Northern Ireland,1426,127,1397,+,,,,
1691,Lion BlessÃ©,Cameroon,1280,5,1280,-,,,,
1859,Lion City Sailors FC,Singapore,1267,248,1250,+,,,,
156,Litex Lovech,Bulgaria,1573,12,1573,-,,,,
321,Liverpool,Uruguay,1487,46,1506,-,,,,
1,Liverpool FC,England,2042,5,1899,+,,,,
837,Livingston FC,Scotland,1369,24,1364,+,,,,
1071,Livorno,Italy,1339,11,1339,-,,,,
1961,Llandudno FC,Wales,1259,1,1259,-,,,,
1013,Llanelli,Wales,1345,9,1345,-,,,,
2599,Llaneros de Guanare,Venezuela,1208,17,1208,-,,,,
2102,LLB AcadÃ©mic,Burundi,1250,2,1250,-,,,,
826,Lobi Stars,Nigeria,1370,158,1397,-,,,,
767,Lobos B.U.A.P.,Mexico,1381,20,1381,-,,,,
1495,Lobos UPNFM,Honduras,1296,222,1317,-,,,,
2551,ÅÃ³dzki KS,Poland,1216,22,1216,-,,,,
1539,Lokeren,Belgium,1292,31,1292,-,,,,
190,Lokomotiv Astana,Kazakhstan,1549,21,1557,-,,,,
1813,Lokomotiv Gorna Oryahovitsa,Bulgaria,1270,10,1270,-,,,,
1644,Lokomotiv Mezdra,Bulgaria,1285,15,1285,-,,,,
199,Lokomotiv Moskva,Russia,1544,87,1603,-,,,,
441,Lokomotiv Plovdiv,Bulgaria,1451,139,1496,-,,,,
643,Lokomotiv Tashkent,Uzbekistan,1402,115,1427,-,,,,
701,Lokomotiva,Croatia,1392,173,1362,+,,,,
2295,Lokomotivi Tbilisi,Georgia,1238,700,1289,-,,,,
2749,Longford Town,Ireland,1161,99,1201,-,,,,
2569,Lootus,Estonia,1213,23,1213,-,,,,
456,Lorient,France,1447,135,1490,-,,,,
436,Los Angeles FC,United States,1451,31,1458,-,,,,
2373,LovÄ‡en,Montenegro,1232,36,1232,-,,,,
1543,LPTA Tozeur,Tunisia,1292,30,1292,-,,,,
1408,LuÄko,Croatia,1303,3,1303,-,,,,
556,Lugano,Switzerland,1421,10,1419,+,,,,
2397,Lumwana Radiants,Zambia,1230,29,1236,-,,,,
2669,Lupe ole Soaga,Samoa,1193,8,1193,-,,,,
2366,Lusaka Dynamos,Zambia,1232,154,1247,-,,,,
656,Luzern,Switzerland,1400,63,1413,-,,,,
2308,Lyn,Norway,1237,45,1237,-,,,,
2237,Lyngby,Denmark,1242,37,1242,-,,,,
45,Lyon,France,1705,18,1752,-,,,,
2266,Lys Sassandra,Ivory Coast,1241,61,1239,+,,,,
2631,Lyubimets,Bulgaria,1203,11,1203,-,,,,
1114,Ma Pau,Trinidad and Tobago,1334,12,1334,-,,,,
2645,Maardu Linnameeskond,Estonia,1199,12,1199,-,,,,
625,MacarÃ¡,Ecuador,1405,308,1491,-,,,,
1945,Macarthur FC,Australia,1260,88,1266,-,,,,
2382,Maccabi Ahi Nazareth,Israel,1231,36,1231,-,,,,
152,Maccabi Haifa FC,Israel,1574,35,1548,+,,,,
622,Maccabi Netanya,Israel,1406,244,1363,+,,,,
1414,Maccabi Petah Tikva,Israel,1302,374,1342,-,,,,
115,Maccabi Tel Aviv,Israel,1608,25,1627,-,,,,
2515,Machine Sazi FC,Iran,1219,150,1236,-,,,,
2743,MaÄva Å abac,Serbia,1166,1,1166,-,,,,
2510,Madang,Papua New Guinea,1220,29,1220,-,,,,
1332,Madura United,Indonesia,1311,92,1321,-,,,,
748,Maghreb FÃ¨s,Morocco,1383,345,1335,+,,,,
609,Mahindra United,India,1408,10,1408,-,,,,
84,Mainz,Germany,1647,1,1633,+,,,,
1696,Makedonija GjorÄe Petrov,Macedonia,1280,223,1262,+,,,,
458,MÃ¡laga,Spain,1446,7,1446,-,,,,
2326,Malampa Revivors FC,Vanuatu,1236,40,1236,-,,,,
1200,Malavan,Iran,1325,7,1325,-,,,,
2340,Malekesa,Congo DR,1234,39,1234,-,,,,
224,Mallorca,Spain,1530,31,1544,-,,,,
188,MalmÃ¶ FF,Sweden,1552,68,1597,-,,,,
122,Mamelodi Sundowns FC,South Africa,1604,23,1573,+,,,,
1588,Managua FC,Nicaragua,1289,153,1276,+,,,,
2,Manchester City,England,2013,0,1982,+,,,,
41,Manchester United,England,1717,28,1850,-,,,,
1803,Manica Diamonds,Zimbabwe,1270,304,1250,+,,,,
1261,Maniema Union,Congo DR,1318,297,1293,+,,,,
1267,Manisaspor,Turkey,1318,3,1318,-,,,,
2293,Mansheyat Bani Hasan,Jordan,1238,44,1238,-,,,,
1057,Manta,Ecuador,1340,208,1366,-,,,,
2413,Manu Ura,Tahiti,1228,32,1228,-,,,,
867,MarathÃ³n,Honduras,1364,161,1388,-,,,,
2095,Marek Dupnitsa,Bulgaria,1251,3,1251,-,,,,
206,Maribor,Slovenia,1540,3,1540,-,,,,
2221,Marist,Solomon Islands,1243,40,1243,-,,,,
1434,Maritzburg United,South Africa,1301,238,1325,-,,,,
51,Marseille,France,1694,58,1605,+,,,,
1459,Marumo Gallants FC,South Africa,1299,215,1283,+,,,,
2193,Mash'al Muborak,Uzbekistan,1245,201,1257,-,,,,
979,Masvingo United,Zimbabwe,1350,0,1350,-,,,,
2378,Matiti Mabe,Congo DR,1231,37,1231,-,,,,
1698,Matsumoto Yamaga,Japan,1280,4,1280,-,,,,
1348,Mattersburg,Austria,1308,1,1308,-,,,,
2285,Maverly Hughenden FC,Jamaica,1240,39,1240,-,,,,
2651,MayagÃ¼ez,Puerto Rico,1198,11,1198,-,,,,
566,MazatlÃ¡n FC,Mexico,1419,187,1379,+,,,,
2223,Mbabane Swallows,Sudan,1243,40,1243,-,,,,
642,MC Alger,Algeria,1402,7,1401,+,,,,
983,MC El Eulma,Algeria,1349,1,1349,-,,,,
690,MC Oran,Algeria,1394,60,1405,-,,,,
1017,MCO Oujda,Morocco,1344,161,1365,-,,,,
879,Medeama SC,Ghana,1363,0,1361,+,,,,
1888,Medimurje,Croatia,1264,2,1264,-,,,,
1451,Meizhou Hakka F.C.,China PR,1299,10,1300,-,,,,
611,Melbourne City FC,Australia,1407,179,1373,+,,,,
1203,Melbourne Victory,Australia,1325,277,1299,+,,,,
937,Melipilla,Chile,1355,69,1363,-,,,,
2731,Merani Martvili,Georgia,1172,6,1172,-,,,,
2364,Merikh Kosti,Sudan,1233,38,1233,-,,,,
1425,Merreikh El-Fasher,Sudan,1301,1,1301,-,,,,
2062,Merreikh Nyala,Sudan,1253,0,1253,-,,,,
1796,Mersin Ä°dmanyurdu,Turkey,1271,11,1271,-,,,,
992,Mes Kerman,Iran,1348,5,1348,-,,,,
868,Mes Rafsanjan,Iran,1364,454,1312,+,,,,
2300,Meshki Pooshan Football Club,Iran,1238,45,1238,-,,,,
1191,Metalist 1925 Kharkiv,Ukraine,1326,230,1350,-,,,,
501,Metalist Kharkiv,Ukraine,1434,8,1434,-,,,,
2143,Metalleghe BSI,Bosnia and Herzegovina,1248,41,1248,-,,,,
1789,Metallurg Bekobod,Uzbekistan,1272,364,1301,-,,,,
509,Metalurh Donetsk,Ukraine,1432,7,1432,-,,,,
2765,Metalurh Zaporizhya,Ukraine,1130,1,1130,-,,,,
1250,Metropolitanos FC,Venezuela,1319,624,1265,+,,,,
558,Metz,France,1421,227,1485,-,,,,
1024,MezÅ‘kÃ¶vesd-ZsÃ³ry,Hungary,1343,136,1360,-,,,,
1776,MFK KarvinÃ¡,Czech Republic,1272,657,1333,-,,,,
1520,MFK Tatran LiptovskÃ½ MikulÃ¡Å¡,Slovakia,1293,79,1300,-,,,,
1306,MFM FC,Nigeria,1314,324,1349,-,,,,
2110,Mgaear Al Sarhan,Jordan,1250,3,1250,-,,,,
1640,MictlÃ¡n,Guatemala,1285,16,1285,-,,,,
468,Middlesbrough,England,1443,3,1443,-,,,,
1721,MiedÅº Legnica,Poland,1277,2,1277,-,,,,
2091,Mighty Jets,Ghana,1251,1,1251,-,,,,
158,Millonarios,Colombia,1572,37,1543,+,,,,
1229,Mineros de Guayana,Venezuela,1323,312,1357,-,,,,
842,Minnesota United,United States,1368,65,1358,+,,,,
1412,Minyor Pernik,Bulgaria,1302,1,1302,-,,,,
2118,Miramar Misiones,Uruguay,1250,47,1250,-,,,,
1574,Misr El Makasa,Egypt,1289,787,1373,-,,,,
2161,Mitra Kukar,Indonesia,1247,43,1247,-,,,,
729,MjÃ¤llby AIF,Sweden,1388,202,1354,+,,,,
2216,MjÃ¸ndalen IF,Norway,1244,292,1262,-,,,,
475,MladÃ¡ Boleslav,Czech Republic,1441,55,1427,+,,,,
2030,Mladi Radnik,Serbia,1255,1,1255,-,,,,
2706,Mladost CD,Macedonia,1183,9,1183,-,,,,
2458,Mladost Velika,Bosnia and Herzegovina,1224,26,1224,-,,,,
1502,MO BÃ©jaia,Algeria,1296,20,1296,-,,,,
1102,Moghreb TÃ©touan,Morocco,1336,262,1367,-,,,,
2041,Mogren,Montenegro,1254,1,1254,-,,,,
1709,Mohammedan SC,India,1279,338,1254,+,,,,
579,Mohun Bagan,India,1417,3,1417,-,,,,
2575,MOIK,Azerbaijan,1212,22,1212,-,,,,
315,MOL FehÃ©rvÃ¡r FC,Hungary,1490,99,1535,-,,,,
142,Molde FK,Norway,1581,13,1586,-,,,,
1711,Molinos El Pirata FC,Peru,1278,4,1278,-,,,,
2157,Molunge,Congo DR,1247,43,1247,-,,,,
2630,Molynes United FC,Jamaica,1203,288,1238,-,,,,
35,Monaco,France,1742,6,1719,+,,,,
1219,Monagas SC,Venezuela,1323,443,1284,+,,,,
1296,Monaghan United,Ireland,1315,8,1315,-,,,,
318,Monarcas Morelia,Mexico,1488,6,1488,-,,,,
952,Monomatapa United,Zimbabwe,1353,18,1353,-,,,,
1340,Mons,Belgium,1310,1,1310,-,,,,
2245,Mont Bleu,Denmark,1242,39,1242,-,,,,
2552,Mont-Dore,New Caledonia,1215,23,1215,-,,,,
2479,Montana,Bulgaria,1223,29,1223,-,,,,
2365,Montedio Yamagata,Japan,1232,38,1232,-,,,,
2509,Montego Bay United,Jamaica,1220,453,1253,-,,,,
145,Monterrey,Mexico,1580,16,1563,+,,,,
514,Montevideo Wanderers,Uruguay,1432,246,1378,+,,,,
363,Montpellier,France,1473,220,1573,-,,,,
2260,Moossou FC,Ivory Coast,1241,38,1241,-,,,,
1072,Mordovia Saransk,Russia,1339,11,1339,-,,,,
680,Moreirense,Portugal,1395,332,1477,-,,,,
2648,Mornar,Montenegro,1199,99,1164,+,,,,
2410,Morobe Wawens,Papua New Guinea,1229,32,1229,-,,,,
1338,Moroka Swallows,South Africa,1310,382,1351,-,,,,
583,Moskva,Russia,1416,5,1416,-,,,,
344,Motagua,Honduras,1478,91,1518,-,,,,
532,Motema Pembe,Congo DR,1428,45,1437,-,,,,
1059,Motherwell,Scotland,1340,25,1343,-,,,,
682,Motor Action,Zimbabwe,1394,7,1394,-,,,,
1319,Mount Pleasant FC,Jamaica,1312,154,1300,+,,,,
887,Mouscron-PÃ©ruwelz,Belgium,1361,10,1361,-,,,,
394,MP Antalyaspor,Turkey,1464,390,1374,+,,,,
2207,MSP Batna,Algeria,1244,39,1244,-,,,,
1242,MTK Budapest,Hungary,1320,214,1344,-,,,,
2618,Muaither SC,Qatar,1206,13,1206,-,,,,
460,Muangthong United,Thailand,1445,8,1446,-,,,,
1897,Mufulira Wanderers,Zambia,1264,4,1264,-,,,,
1791,MuÄŸan,Azerbaijan,1271,9,1271,-,,,,
2230,Mumbai City FC,India,1243,95,1240,+,,,,
2028,Mumbai FC,India,1255,1,1255,-,,,,
1905,Municipal LimeÃ±o,El Salvador,1263,428,1299,-,,,,
535,Mura 05,Slovenia,1427,8,1423,+,,,,
700,Mushuc Runa SC,Ecuador,1392,116,1369,+,,,,
2239,Muungano,Congo DR,1242,37,1242,-,,,,
1143,MyPa,Finland,1330,0,1330,-,,,,
1498,MZKS Arka Gdynia,Poland,1296,19,1296,-,,,,
2049,NA Hussein Dey,Algeria,1254,484,1292,-,,,,
1470,NAC Breda,Netherlands,1298,29,1298,-,,,,
171,Nacional,Uruguay,1564,11,1563,+,,,,
1845,Nacional,Portugal,1268,10,1268,-,,,,
636,Nacional AsunciÃ³n,Paraguay,1403,283,1475,-,,,,
2402,Nacional de Benguela,Angola,1230,29,1230,-,,,,
792,Nacional PotosÃ­,Bolivia,1376,187,1410,-,,,,
2600,Nadi,Fiji,1208,17,1208,-,,,,
1784,Naft Masjed Soleyman FC,Iran,1272,466,1312,-,,,,
941,Naft Tehran,Iran,1354,14,1354,-,,,,
2018,Nafta,Slovenia,1255,1,1255,-,,,,
2545,Naftan Novopolotsk,Belarus,1216,23,1216,-,,,,
417,Nagoya Grampus Eight,Japan,1457,43,1444,+,,,,
1964,Najran SC,Saudi Arabia,1259,2,1259,-,,,,
2496,Nakambala Leopards,Zambia,1221,29,1221,-,,,,
2289,Nakhon Pathom,Thailand,1239,43,1239,-,,,,
1549,Nakhon Ratchasima FC,Thailand,1291,13,1292,-,,,,
1864,Nalkutan FC,Vanuatu,1266,11,1266,-,,,,
479,Nancy,France,1439,0,1439,-,,,,
138,Nantes,France,1586,92,1526,+,,,,
1262,Napredak,Serbia,1318,271,1348,-,,,,
2684,Napredok,Macedonia,1190,8,1190,-,,,,
2368,NAPSA Stars FC,Zambia,1232,35,1239,-,,,,
1137,Narva Trans,Estonia,1331,214,1355,-,,,,
377,Nasaf Qarshi,Uzbekistan,1469,108,1438,+,,,,
815,Nasarawa United,Nigeria,1372,23,1373,-,,,,
549,Nashville SC,United States,1424,231,1375,+,,,,
1052,Nassaji Mazandaran,Iran,1341,27,1337,+,,,,
2698,National Assembly,Zambia,1186,9,1186,-,,,,
994,National Bank,Egypt,1348,689,1282,+,,,,
1301,NÃ¡utico,Brazil,1314,6,1314,-,,,,
1096,Naval 1Âº de Maio,Portugal,1337,16,1337,-,,,,
1485,Navbahor Namangan,Uzbekistan,1297,260,1275,+,,,,
1138,NC Magra,Algeria,1331,698,1268,+,,,,
1877,Nchanga Rangers,Zambia,1265,9,1265,-,,,,
2351,ND Triglav,Slovenia,1233,40,1233,-,,,,
2375,Ndjadi,Congo DR,1232,37,1232,-,,,,
